sec,pd_true,pf_true,pd_hat_rule,pf_hat_rule,pd_var_rule,pf_var_rule,pd_ci_low_rule,pd_ci_high_rule,pf_ci_low_rule,pf_ci_high_rule,pd_hat_global,pf_hat_global,pd_var_global,pf_var_global,pd_ci_low_global,pd_ci_high_global,pf_ci_low_global,pf_ci_high_global,pd_hat_full,pf_hat_full,pd_var_full,pf_var_full,pd_ci_low_full,pd_ci_high_full,pf_ci_low_full,pf_ci_high_full
213,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9162334441758145,0.023250257112127415,0.0011342323145252106,0.0003356110737391244,0.8502238474532163,0.9822430408984127,0.0,0.059156851226248294,0.8865925694424208,0.023982349797092375,0.0025274037955063215,0.00021027641057635922,0.7880569189355252,0.9851282199493164,0.0,0.05240413473171852
214,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9300727444987835,0.018366935000829275,0.0009611443513194694,0.0002664471531946494,0.8693081813058429,0.9908373076917242,0.0,0.05036042470908969,0.8889795833763061,0.0238238999556119,0.002511367876616464,0.00020863518801473733,0.7907570257084781,0.9872021410441342,0.0,0.05213455057119146
215,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9393494797399307,0.017506816163569406,0.0008419512510185063,0.0002541920327790799,0.8824773431006879,0.9962216163791734,0.0,0.04875588195959143,0.8909067283939931,0.023621598065741444,0.0024982328229588803,0.00020666520916196233,0.7929413711870762,0.98887208560091,0.0,0.05179827401441563
216,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9444556706217815,0.023380518804571378,0.0007752584756474258,0.00033744635682266704,0.889882481599633,0.99902885964393,0.0,0.0593851563443378,0.8923492776895543,0.02549707634730071,0.002488290455885692,0.0002205625840549177,0.794579054127723,0.9901195012513856,0.0,0.054605721504802834
217,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9416615377947812,0.012474490820319725,0.0008118485620603319,0.00018205238274522412,0.885815343331676,0.9975077322578865,0.0,0.038920141380554635,0.8950438902268778,0.02909621449677939,0.002373640332000279,0.00025404467569041517,0.7995526513648111,0.9905351290889445,0.0,0.06033622131707793
218,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9354139422255271,0.007117046494255038,0.0008928280627924924,0.00010442947010030032,0.876848694116912,0.9939791903341422,0.0,0.027146431216140875,0.8942246391780999,0.02684121260231019,0.0023792983747914884,0.0002361211059344156,0.7986196568989374,0.9898296214572624,0.0,0.056959028601443515
219,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9550625619845775,0.0026991637298824987,0.0006342571134980204,3.978145189716929e-05,0.9057010169599939,1.0,0.0,0.015061381395340648,0.8982790403096546,0.025239511410322768,0.0023509997919244634,0.00022315399584546514,0.803244305603564,0.9933137750157451,0.0,0.05451865740947955
220,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9332105521915158,0.010586321551476674,0.0009211125734471224,0.00015479189183476008,0.8737248727202812,0.9926962316627505,0.0,0.0349717379242273,0.8769434992625852,0.02594675568157144,0.0027048231089985306,0.00022824873053402283,0.7750079880041001,0.9788790105210703,0.0,0.05555824539788767
221,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9420171984000059,0.01710999570918723,0.00080720388648192,0.00024853069590175637,0.8863309842145457,0.997703412585466,0.0,0.04800911416548283,0.8786767527803175,0.027729290485552893,0.002692799549744911,0.00024163370357420543,0.7769680572312149,0.9803854483294202,0.0,0.058196650654275546
222,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9459270214548872,0.0190539139577977,0.0007558979044784149,0.00027621964020719056,0.8920395703197269,0.9998144725900474,0.0,0.051628833294918755,0.8797953276481938,0.027997598409443988,0.002684967673823,0.00024325114443624865,0.7782346471869127,0.9813560081094749,0.0,0.05856675928223035
