method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
full,935,2,4148,186578,64,186.0,381.8312238250219,33681.89086051969,0.9214582547195403
full,935,2,4149,187301,65,186.0,276.1815697089769,33921.16954625373,0.8967434099892696
full,935,2,4150,187875,66,186.0,425.42695809781435,33801.47633259691,0.9089384209750598
full,935,2,4151,188603,67,186.0,271.59880169742974,33569.521957535115,0.9335409885922124
full,935,2,4152,189240,68,186.0,362.71912738253013,33479.22096963667,0.9434829011588781
full,935,2,4153,189868,69,186.0,371.80337259959197,33628.63715720937,0.9271452552986155
full,935,2,4154,190577,70,186.0,290.8623527001473,33895.6312844482,0.8993178498737927
full,935,2,4155,191198,71,186.0,378.90364291111473,33459.037865061226,0.945734033540952
full,935,2,4156,191900,72,186.0,297.93254808793426,33493.757977695284,0.9418681366961599
full,937,2,18175,145030,69,,0.0,33767.97855528037,0.9124109906931891
full,937,2,2656,146292,71,50.0,101.63636363635305,33257.04956638963,0.9688690779529832
full,937,2,2657,147054,72,50.0,96.26646222235286,33320.00426827282,0.9615379682564452
full,938,2,4089,145108,1,186.0,0.0,33420.44907626095,0.9500680934647198
full,938,2,4090,145731,2,186.0,58.81818181817653,33357.0296927749,0.9572779197992356
full,938,2,4091,146385,3,186.0,99.76884422110743,33657.00579734361,0.9241070396943465
full,938,2,4092,147118,4,186.0,80.8903960933385,33775.85453546981,0.9115921381406221
full,938,2,4028,148046,5,56.0,65.98057582898764,33434.25407800638,0.9485130428855867
full,938,2,4029,148999,6,56.0,53.75716246920638,33610.67779578427,0.9290790097751362
full,938,2,4030,150779,8,56.0,74.54322909357143,33536.602072134854,0.9371410231377159
full,938,2,4031,151786,9,56.0,91.2335852816177,33470.7409418224,0.9444274184448003
full,938,2,4032,152607,10,56.0,120.35219498488004,33587.432258682704,0.93159395719381
full,938,2,4033,153526,11,56.0,39.21129168427433,33583.33364923208,0.9320388006489448
full,938,2,4034,154446,12,56.0,50.37652616680134,33791.82641187527,0.9099360730319087
full,938,2,4035,156323,14,56.0,81.1552606713376,33473.67598229797,0.9441002956346795
full,938,2,4036,157178,15,56.0,111.5406261064054,33620.61722188855,0.9280077973636569
full,938,2,4037,158164,16,56.0,9.65904679329833,33562.80571467648,0.9342732121421561
full,938,2,4038,159006,17,56.0,141.32027935734368,33510.645550531124,0.9399991989445198
full,938,2,4039,159859,18,56.0,135.26547698039212,33608.900535228364,0.9292708130687896
full,938,2,4040,160861,19,56.0,10.243185067200102,33657.47844807076,0.9240565885304316
full,938,2,4041,161802,20,56.0,53.807712989801075,33384.894493400454,0.9540966802023101
full,938,2,4042,163615,22,56.0,179.7194573856832,33761.33204851595,0.913103162361606
full,938,2,4043,164511,23,56.0,71.58522913072375,33900.932801718016,0.8987822038669785
full,938,2,4044,165482,24,56.0,6.086842971009901,33354.35251694264,0.9575846822091817
full,938,2,4045,166326,25,56.0,139.84977428233833,33495.646929779155,0.9416587184147447
full,938,2,4046,167335,26,56.0,20.360198935464723,33902.0876024396,0.8986656116266053
full,938,2,4047,168083,27,56.0,246.66105885390425,33564.13316277244,0.9341283989809174
full,938,2,4048,169092,28,56.0,12.743254306580639,33794.192456973266,0.9096912580820857
full,938,2,4049,170041,29,56.0,51.04579561165883,33723.353885220786,0.9170784660649504
full,938,2,4050,170949,30,56.0,92.03205648774747,33613.305262059635,0.928795596649621
full,938,2,4051,171930,31,56.0,19.022439325635787,33749.06825190851,0.914383082821978
full,938,2,4052,172773,32,56.0,157.01570742219337,33606.52916214809,0.9295268567943006
full,938,2,4053,173738,33,56.0,35.01099514373345,33991.193888150585,0.8897594801668249
full,938,2,4054,174612,34,56.0,126.00769657522324,33571.57535447294,0.9333173505644249
full,938,2,4055,175479,35,56.0,133.00538759020856,33622.45309341259,0.9278102082239067
full,938,2,4056,176379,36,56.0,100.00377130706329,33478.66284434583,0.9435450078469585
full,938,2,4057,177379,37,56.0,0.0026399119524285197,33922.24298293828,0.8966355226256605
full,938,2,4058,178245,38,56.0,134.00184793688823,33397.237463274105,0.9526942682029118
full,938,2,4059,179164,39,56.0,81.0012935551058,33426.24379505613,0.9494147326586712
full,938,2,4060,180099,40,56.0,65.00090548823937,33315.62460937416,0.9620443894234529
full,938,2,4061,180981,41,56.0,118.0006338415842,33402.1562954796,0.9521365371772523
full,938,2,4062,181896,42,56.0,85.00044368903036,33457.81236069072,0.9458710667526173
full,938,2,4063,182784,43,56.0,112.00031058228342,33625.95429474802,0.9274336179674474
full,938,2,4064,183778,44,56.0,6.000217407563468,33285.199214963024,0.9655772652457217
full,940,2,3049,146457,51,208.0,0.0,33501.120517557654,0.94105241579358
full,940,2,3050,147124,52,208.0,14.818181818176527,33830.311087397604,0.9059703470036744
full,940,2,3051,147843,53,208.0,34.76884422110743,33684.01017705788,0.9212333745456736
full,940,2,3052,148503,54,208.0,153.8903960933385,33725.38455374774,0.9168650333656447
full,940,2,3053,149245,55,208.0,120.01942417101236,33468.738791887605,0.944650696708627
full,940,2,3054,149989,56,208.0,155.24283753079362,33456.72695325909,0.9459924677971218
full,940,2,3055,150559,57,208.0,357.27161454680027,33551.1367631129,0.9355481290522281
full,940,2,3056,151335,58,208.0,171.95457629178418,33503.13053932488,0.9408299640940448
full,940,2,3057,152090,59,208.0,207.99034850628232,33499.112950118346,0.9412747008955331
full,940,2,3058,152696,60,208.0,367.80237445700914,33929.270823834435,0.8959298197839425
full,940,2,3059,153429,61,208.0,248.51639414441888,33633.65089951837,0.926606842586869
full,940,2,3060,154061,62,208.0,354.9893306759768,34126.67530665922,0.8765513980937669
full,940,2,3061,154819,63,208.0,232.85684389900416,33477.66679884057,0.9436558654433206
full,940,2,3062,155584,64,208.0,228.58218700950965,33783.00615236629,0.9108498686232469
full,940,2,3063,156263,65,208.0,316.4988646732236,33855.44295644623,0.9033991906837908
full,940,2,3064,156952,66,208.0,307.844944872224,33828.437848617265,0.9061625779302483
full,940,2,3065,157626,67,208.0,323.7893690117635,33491.002841124035,0.9421737514035461
full,940,2,3066,158334,68,208.0,290.45153138041496,33465.03981415754,0.9450634817594391
full,940,2,3067,159052,69,208.0,280.9155682037235,33664.95256750415,0.9232595259669517
full,940,2,3068,159763,70,208.0,288.2406507038395,33852.46888388004,0.903702696381983
full,940,2,3069,160478,71,208.0,284.46833437672467,33270.153230298405,0.9673339510435339
full,940,2,3070,161163,72,208.0,314.62777469388675,33322.34985800274,0.9612669662411791
full,944,2,17759,149500,27,,0.0,33752.901214134574,0.9139826674932928
full,944,2,3646,150077,28,190.0,104.81818181817653,33837.2871910197,0.9052551792284702
full,944,2,3647,150699,29,190.0,131.76884422110743,33864.549350367975,0.902471144759086
full,944,2,3648,152107,31,190.0,219.7807921866479,33868.126086001816,0.9021071557189362
full,944,2,3649,152694,32,190.0,190.48222981902654,33423.24368986639,0.9497528855332095
full,944,2,3650,153373,33,190.0,154.09581687444006,33984.05016650434,0.8904669777809985
full,944,2,3651,154064,34,190.0,186.0087453451706,33453.59842599074,0.9463425628787685
full,944,2,3652,154756,35,190.0,218.60778348182794,33542.94153452845,0.9364455987046134
full,944,2,3653,155427,36,190.0,264.701102137391,33444.59667464371,0.9473513429032452
full,944,2,3654,156131,37,190.0,250.10548140713945,33851.504958370104,0.9038011092605323
full,944,2,3655,156810,38,190.0,288.4253374481632,33482.295127979,0.9431409635361381
full,944,2,3656,157451,39,190.0,335.9727042976301,33449.09847920513,0.9468465801043209
full,944,2,3657,158167,40,190.0,267.7687645709666,33372.61914579065,0.9554955099112575
full,944,2,3658,158772,41,190.0,383.5825393521518,33398.92315234524,0.9525030596054628
full,944,2,3659,159468,42,190.0,295.9803081918217,33525.53991189902,0.9383569935359136
full,944,2,3660,160180,43,190.0,282.3726769152272,33497.75322658622,0.9414253140431358
full,944,2,3661,160914,44,190.0,262.0542125744396,33302.07379510337,0.9636146579085408
full,944,2,3662,161496,45,190.0,415.2346753871825,33418.476904685296,0.9502906630946043
full,944,2,3663,162115,46,190.0,379.0626655634551,33380.045223466266,0.9546487860946095
full,944,2,3664,162901,47,190.0,212.64307725045364,34185.69757609277,0.870919158150957
full,944,2,3665,164152,49,190.0,747.0995345152041,33312.15848499293,0.9624455566437394
full,944,2,3666,164811,50,190.0,188.25507389489212,33840.151239418636,0.9049618929965404
full,944,2,3667,165478,51,190.0,220.9437443811912,33452.60888844874,0.9464533501523683
full,944,2,3668,166214,52,190.0,182.83200664335163,33739.89051268058,0.9153432744257972
full,944,2,3669,166896,53,190.0,259.76434322979185,33620.868245946884,0.9279807754585759
full,944,2,3670,167514,54,190.0,340.51018426017254,33621.11172919688,0.9279545667998509
full,944,2,3671,168160,55,190.0,324.591077752586,33320.44076922349,0.961487524746433
full,944,2,3672,168975,56,190.0,164.23051194904838,33361.08541380901,0.9568135719301896
full,944,2,3673,169513,57,190.0,447.3702023420483,33761.82167702638,0.9130521362898893
full,944,2,3674,170281,58,190.0,221.71399699663743,33424.30681289423,0.949633029480267
full,944,2,3675,170866,59,190.0,407.7775107337511,33415.66073091522,0.9506086635136952
full,944,2,3676,171589,60,190.0,271.93327921268065,33757.21894139119,0.9135320303787108
full,944,2,3677,172189,61,190.0,396.4478961934219,33614.32937861567,0.9286851765686263
full,944,2,3678,172969,62,190.0,217.51087484610616,34110.221349334744,0.878134536279317
full,944,2,3679,173565,63,190.0,402.2563103137072,33482.114726690306,0.9431610226665226
full,944,2,3680,174237,64,190.0,326.778778390144,33696.502899495725,0.9199100020381623
full,944,2,3681,174908,65,190.0,328.1448315680609,33747.30175237327,0.914567740598349
full,944,2,3682,175627,66,190.0,280.40122848248575,33809.35970079458,0.9081250251682218
full,944,2,3683,176288,67,190.0,338.58078463346465,33523.484299631484,0.9385832974838567
full,944,2,3684,176991,68,190.0,296.70651233306853,33466.203016122716,0.9449336361016982
full,944,2,3685,177643,69,190.0,347.7945405431965,33580.12887148966,0.932386927961265
full,944,2,3686,178184,70,190.0,458.8561695148528,33875.799857470454,0.9013272187820547
full,944,2,3687,178930,71,190.0,253.8993143159023,33450.46402506607,0.9466935752013278
full,944,2,3688,179677,72,190.0,252.92951789216022,33458.2870709382,0.9458179809818913
full,950,2,4292,153279,1,57.0,0.0,33380.7119669337,0.9545728371961949
full,950,2,4293,153881,2,57.0,79.81818181817653,33323.094119228525,0.9611810085768353
full,950,2,4294,154667,3,57.0,32.23115577889257,33674.173126094815,0.9222781103980182
full,950,2,4295,155319,4,57.0,161.8903960933385,33813.24855322888,0.9077243143300514
full,950,2,4296,156086,5,57.0,95.01942417101236,33461.61598977149,0.9454458828751506
full,950,2,4297,156775,6,57.0,210.24283753079362,33633.778410393454,0.9265931576804773
full,950,2,4298,157589,7,57.0,113.27161454680027,33818.06086842725,0.9072289383535228
full,950,2,4299,158226,8,57.0,310.9545762917842,33501.02957321293,0.9410624832088934
full,950,2,4300,158974,9,57.0,214.99034850628232,33467.928833627586,0.9447410526444955
full,950,2,4301,159591,10,57.0,356.80237445700914,33575.574056064914,0.9328821543255343
full,950,2,4302,160386,11,57.0,186.51639414441888,33540.34664883112,0.9367301268848293
full,950,2,4303,161092,12,57.0,280.9893306759768,33768.15425689979,0.9123927072456194
full,950,2,4304,161830,13,57.0,252.85684389900416,33683.84974847418,0.9212503937445099
full,950,2,4305,162490,14,57.0,333.58218700950965,33470.73110233515,0.9444285154789785
full,950,2,4306,163197,15,57.0,288.4988646732236,33593.85934483384,0.9308972463936314
full,950,2,4307,163929,16,57.0,264.844944872224,33551.065936779196,0.9355558779626533
full,950,2,4308,164683,17,57.0,243.78936901176348,33519.2455584885,0.9390502885585765
full,950,2,4309,165342,18,57.0,339.45153138041496,33576.7485517711,0.9327544059045538
full,950,2,4310,166105,19,57.0,235.91556820372352,33642.003627512895,0.9257112522530077
full,950,2,4311,166782,20,57.0,322.2406507038395,33372.859741994056,0.9554680535105614
full,950,2,4312,167500,21,57.0,281.46833437672467,33545.377874713784,0.9361786122615382
full,950,2,4313,168160,22,57.0,339.62777469388675,33680.95574274309,0.9215575147572501
full,950,2,4314,168832,23,57.0,327.73941318661673,33790.960362059646,0.9100257162490117
full,950,2,4315,170356,25,57.0,475.63514993872377,33458.428732292596,0.9458021404681932
full,950,2,4316,170978,26,57.0,292.22009253079887,33859.91608277211,0.9029430894448088
full,950,2,4317,171659,27,57.0,257.3680293497164,33565.46323542643,0.9339833445215551
full,950,2,4318,172398,28,57.0,217.04490887903376,33862.66924838338,0.902662592475654
full,950,2,4319,173839,30,57.0,496.64056807689485,33692.87357398335,0.9202940698393416
full,950,2,4320,174554,31,57.0,163.03578864663723,33834.534354930656,0.9055372562488375
full,950,2,4321,176012,33,57.0,364.765213829407,33957.53772914827,0.8931025737092463
full,950,2,4322,176609,34,57.0,250.7547388888488,33560.990424279546,0.9344713173970461
full,950,2,4323,177361,35,57.0,136.3278505569615,33539.64486707356,0.9368071066802461
full,950,2,4324,178058,36,57.0,222.11987827788107,33431.537496878096,0.9488186470097678
full,950,2,4325,178865,37,57.0,134.97601879574358,33904.602320231876,0.8984118225946426
full,950,2,4326,179536,38,57.0,287.6636635136092,33367.66460183995,0.9560612644824338
full,950,2,4327,180153,39,57.0,353.7012333565508,33421.12051586217,0.9499923418660333
full,950,2,4328,180940,40,57.0,192.30899708982906,33315.62460937416,0.9620443894234529
full,950,2,4329,181651,41,57.0,274.4258317153435,33408.76218322244,0.9513885427705376
full,950,2,4330,182384,42,57.0,256.75328097853344,33450.798966982,0.9466560536177332
full,950,2,4331,183029,43,57.0,347.8051796943473,33631.95105021956,0.9267893148903469
full,950,2,4332,183799,44,57.0,224.95273152913433,33285.199214963024,0.9655772652457217
full,950,2,4333,184521,45,57.0,274.4615542246611,33517.75865090014,0.9392142144288829
full,950,2,4334,185914,47,57.0,602.0409116749943,34268.10110475692,0.8631757368177548
full,950,2,4335,186565,48,57.0,232.02945927641122,33743.13710331821,0.9150033798467858
full,950,2,4336,187361,49,57.0,119.14288676777505,33428.02342503174,0.94921425778665
full,950,2,4337,188001,50,57.0,299.04836684660404,33862.742352323396,0.9026551469030097
full,950,2,4338,188682,51,57.0,275.53915392872295,33523.85397871923,0.938542591176821
full,950,2,4339,189418,52,57.0,233.17551022855332,33756.0010679291,0.9136590936816888
full,950,2,4340,190130,53,57.0,266.2214634770935,33693.26652555178,0.9202524708618925
full,950,2,4341,190828,54,57.0,286.6547654083697,33624.662855039285,0.9275724900163136
