method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
global,0.05171284807091272,0.07224365691670505,0.015918260116814957,0.02014985505610264,0.11618950265801635,0.11788072500583127,0.02849318360622443,0.030353950761395455,0.015547790734198529,0.009192539311264918,,0.0,0.0,0,0.0009046750527661823,0.00022750760323583374,-0.9993454362200648,414,421,292,262,0.25,22
full,0.05199990678542374,0.06790268356083888,0.012088372859188179,0.014967276367424478,0.10792896520772427,0.10947474278584182,0.02030401968982776,0.021482278696515564,0.022775216138973712,0.008499854063143535,,0.0,0.0,0,0.0010168468748323009,0.0001987730054180667,-0.9994411072632067,401,410,284,262,0.25,22
rule,0.096,0.12263767773404716,0.03150000000000001,0.031859064644147984,0.20000000000000012,0.20000000000000007,0.024999999999999994,0.024999999999999994,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,406,416,280,255,0.5,11
global,0.09212317511081099,0.13824110357424643,0.026093196809393458,0.036365049172489464,0.23084563094765168,0.23175278396924445,0.05880380562209258,0.05983093954226075,0.016572567568286584,0.008320576525800295,,0.0,,0,0.000922796436280385,0.00021658971345453508,-0.9993177289184126,388,400,262,255,0.5,11
full,0.09055329131474749,0.11450590889644079,0.020878713705399798,0.027508676819913768,0.17735723936348438,0.17972374452980222,0.04084941016702465,0.042863487353223526,0.0642602936971821,0.014435049381950163,,24.0,118.0,18,0.002223995486915805,0.00024737270964176347,-0.998456108963093,386,398,255,255,0.5,11
rule,0.096,0.12263767773404716,0.03150000000000001,0.031859064644147984,0.20000000000000012,0.20000000000000007,0.024999999999999994,0.024999999999999994,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,425,437,297,262,0.5,22
global,0.09289689266491102,0.13950003742212216,0.02529484789970523,0.03515297345763484,0.23244400700479234,0.23347450780325493,0.056422640275705954,0.05759706931864775,0.017319743063381896,0.008273291886020093,,0.0,,0,0.0009190542056095819,0.00023462899718143263,-0.9992954409250755,406,418,282,262,0.5,22
full,0.0939451782951415,0.122933183511649,0.01977572462605153,0.024842724235976558,0.19564491122500208,0.19810647439388723,0.03576533990252703,0.037349236950967334,0.0549608815648888,0.014612878926514512,,0.0,70.0,0,0.0013618405416535573,0.00022782304640926737,-0.9989116985429611,387,400,272,262,0.5,22
rule,0.138,0.1920416621465249,0.042,0.04306971093471605,0.3200000000000001,0.32000000000000006,0.054999999999999986,0.055,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,419,428,281,255,0.75,11
global,0.13378807552067556,0.20796815645560915,0.03596416445443227,0.052863961916084945,0.3496425642358412,0.3502404213147669,0.08747659696338762,0.08826239808718839,0.016818206879710168,0.008275190240445011,,0.0,,0,0.0009277582643660415,0.00022353023685409368,-0.9993989253351117,402,416,268,255,0.75,11
