tid1,tid2,label,p_I1,p_I2,p_P,pair_count,mean_dt_ms,std_dt_ms,speed_diff
12,250,I2,0.07912093729289647,0.5922990161611593,0.32858004654594414,29,66.55172413793103,37.257340130222296,0.25295735147854614
13,241,I2,0.05295134461978646,0.9466256607996563,0.0004229945805572603,4,195.0,225.11108368980857,9.826967901665917
14,256,I2,0.02775203492027941,0.87653526189136,0.09571270318836052,19,61.05263157894737,113.4573760373706,1.9828289371166221
14,294,I2,0.03524063988468232,0.7465138027971779,0.2182455573181396,9,22.22222222222222,16.17802197617893,1.9123350579292318
15,277,I2,0.22816268916400584,0.6213174285883993,0.15051988224759486,2,20.0,20.0,4.497518513113494
16,278,I1,0.9401311662076798,0.046687734380464564,0.013181099411855579,12,74.16666666666667,33.53066589788451,6.4010020377696435
17,250,I2,0.14536437629995685,0.6850452124524219,0.16959041124762128,3,70.0,14.142135623730951,4.115146298365744
18,277,I2,0.2620077029632737,0.6848611188545203,0.05313117818220593,2,15.0,5.0,6.316482366629277
19,250,I2,0.25382921538645226,0.6342232087095905,0.11194757590395722,2,80.0,0.0,5.3456714973047355
20,314,I2,0.26307866124816065,0.6926686435355167,0.044252695216322684,4,255.0,247.94152536434876,1.1859902049610849
20,331,I2,0.05544241137103867,0.8610237547400633,0.08353383388889786,14,122.85714285714286,126.96616936517107,2.32421160744909
20,363,I2,0.06567269240356502,0.6166411086576691,0.3176861989387659,13,73.07692307692308,56.891883344924906,1.1665612071812692
21,328,I2,0.40478457527506173,0.546601044613233,0.04861438011170527,3,120.0,106.14455552060438,6.543674689024673
23,340,I2,0.0441168927291488,0.8464205897497867,0.10946251752106458,4,32.5,8.2915619758885,4.297942069391723
24,363,I2,0.041672806082838236,0.9108365612384308,0.04749063267873087,6,70.0,51.63977794943222,4.952363105997469
25,390,I2,0.044645948920005715,0.7523461933245974,0.20300785775539693,29,35.86206896551724,35.478720322460646,1.4676008376113234
26,393,I2,0.049265307299237455,0.6522362764654858,0.29849841623527684,29,222.41379310344828,43.20402059944414,1.355461378065952
28,407,I2,0.03080021849678203,0.9284309392953382,0.040768842207879775,20,38.0,42.96510211788167,4.393425178549402
30,390,I2,0.046868778352135126,0.895229134663153,0.05790208698471194,5,60.0,62.289646009589745,4.862675115110337
31,407,I2,0.03188313508320637,0.8823589984021247,0.08575786651466893,10,98.0,196.56042327996752,2.3480282411432913
32,393,I2,0.05875995153930997,0.8549484416268884,0.08629160683380156,5,248.0,29.257477676655586,4.623333598530605
33,409,I2,0.354572951878162,0.5934602625239771,0.051966785597860866,3,403.3333333333333,220.95751225568736,0.263757888415995
33,413,I2,0.10243851042639565,0.5945859993454015,0.3029754902282029,4,15.0,11.180339887498949,1.6971548884159908
