method,rep_lane,rep_dev,pd_MAE_rep,pd_RMSE_rep,pf_MAE_rep,pf_RMSE_rep,pd_convergence_degrade_s,pd_convergence_recover_s,pf_convergence_degrade_s,pf_convergence_recover_s,pd_posterior_variance_mean,pf_posterior_variance_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
global,1,21,0.05010405130425249,0.06932443376783347,0.01599030224521738,0.02058421522752537,,0.0,7.0,0,0.0009164628374232212,0.00021153598174997637,-0.9993442339829426,393,401,267,255,0.25,11
full,1,21,0.05203952760386677,0.056527724190774745,0.013184395824955479,0.01705209091889043,59.0,0.0,0.0,0,0.0020153690317121268,0.00015517071863961485,-0.9989382654694325,379,389,258,255,0.25,11
rule,1,21,0.053999999999999986,0.05727128425310541,0.024500000000000004,0.028372521918222218,,0.0,0.0,0,0.0,0.0,,417,423,298,262,0.25,22
global,1,21,0.05171284807091272,0.07224365691670505,0.015918260116814954,0.02014985505610264,,0.0,0.0,0,0.0009046750527661823,0.00022750760323583374,-0.9993454362200648,414,421,292,262,0.25,22
full,1,21,0.054404823190737917,0.07155808234011068,0.01150345201559014,0.013325961015315003,,0.0,0.0,0,0.0010168468748323009,0.0001987730054180667,-0.9994411072632067,401,410,284,262,0.25,22
rule,1,21,0.053999999999999986,0.05727128425310541,0.024500000000000004,0.028372521918222218,,0.0,0.0,0,0.0,0.0,,468,478,336,282,0.25,33
global,1,21,0.0521464725397945,0.07305378421050134,0.01574482234837303,0.02058682099148752,,0.0,0.0,0,0.0010462900289297029,0.00021540471941639133,-0.999265100818401,463,475,327,282,0.25,33
full,1,21,0.04849891079107291,0.0628930959590733,0.01040582350528236,0.014128515482707103,,0.0,0.0,0,0.0012967794472480891,0.00020032478244952706,-0.9991700766297583,456,468,323,282,0.25,33
rule,1,21,0.09599999999999999,0.12263767773404717,0.0315,0.031859064644147984,,0.0,0.0,0,0.0,0.0,,406,416,280,255,0.5,11
global,1,21,0.09212317511081099,0.13824110357424643,0.026093196809393454,0.03636504917248947,,0.0,,0,0.000922796436280385,0.00021658971345453508,-0.9993177289184126,388,400,262,255,0.5,11
full,1,21,0.08985164169916407,0.10745205941408083,0.021326381811259735,0.02690071840816008,,24.0,118.0,18,0.002223995486915805,0.00024737270964176347,-0.998456108963093,386,398,255,255,0.5,11
rule,1,21,0.09599999999999999,0.12263767773404717,0.0315,0.031859064644147984,,0.0,0.0,0,0.0,0.0,,425,437,297,262,0.5,22
global,1,21,0.09289689266491105,0.1395000374221222,0.025294847899705226,0.03515297345763484,,0.0,,0,0.0009190542056095819,0.00023462899718143263,-0.9992954409250755,406,418,282,262,0.5,22
full,1,21,0.10263723369817637,0.12995502205544301,0.019421947300988777,0.024555676361731945,,0.0,70.0,0,0.0013618405416535573,0.00022782304640926737,-0.9989116985429611,387,400,272,262,0.5,22
