method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
global,261,1,6011,271801,49,145.0,313.95932699437253,33858.53880939088,0.9030834737123072
global,261,1,6012,272538,50,145.0,251.01023479556898,33815.714197488254,0.9074704352687989
global,261,1,6013,273206,51,145.0,323.5768669405952,33727.90633636575,0.9166001205429017
global,261,1,6014,273845,52,145.0,355.0888697875198,33727.90633636575,0.9166001205429017
global,261,1,6015,274552,53,145.0,288.85485810920363,33946.56648567386,0.8941977922827047
global,261,1,6016,275227,54,145.0,322.0947879215819,33695.082587428704,0.9200602661976264
global,261,1,6017,275889,55,145.0,335.9645775449462,33695.082587428704,0.9200602661976264
global,261,1,6018,276643,56,145.0,244.57433373149252,33748.09031286732,0.9144853006641943
global,261,1,6019,277312,57,145.0,330.00160659931134,33609.46961377504,0.9292093890662089
global,261,1,6020,277989,58,145.0,322.3009152310551,33609.46961377504,0.9292093890662089
global,261,1,6021,278742,59,145.0,246.51053800911177,33655.6740466116,0.9242492215995273
global,261,1,6022,279345,60,145.0,396.6573262886377,33988.03918525633,0.8900717759578664
global,261,1,6023,280141,61,145.0,203.76010374020552,34079.06194322136,0.881148300345389
global,261,1,6024,280800,62,145.0,340.83206053171307,34079.06194322136,0.881148300345389
global,261,1,6025,281503,63,145.0,296.88243644911563,34175.85844379569,0.871853031408658
global,261,1,6026,282249,64,145.0,253.91770261182683,34341.47285403858,0.856396001465805
global,261,1,6027,282891,65,145.0,357.9423904059804,34341.47285403858,0.856396001465805
global,261,1,6028,283476,66,145.0,414.9596725872252,33985.52456545248,0.8903208646002015
global,261,1,6029,284186,67,145.0,289.97177046950674,34015.40034410238,0.8873704654983376
global,261,1,6030,284960,68,145.0,225.98023916129023,34015.40034410238,0.8873704654983376
global,261,1,6031,285627,69,145.0,332.98616733093513,33961.6486395778,0.8926928874079242
global,261,1,6032,286417,70,145.0,209.9903170914622,33767.19739311212,0.9124922870203812
global,261,1,6033,287038,71,145.0,378.9932219443144,33743.81078534463,0.914932881828674
global,261,1,6034,287734,72,145.0,303.9952553513576,33743.81078534463,0.914932881828674
global,276,1,17310,245822,48,,0.0,33555.33162301972,0.9350894100322773
global,276,1,17316,246799,49,,295.1818181818235,33619.12583832679,0.9281683722989961
global,276,1,17336,247732,51,,574.5376884422149,33497.54325355847,0.9414485765223829
global,277,1,6238,248191,1,175.0,0.0,33585.11021758805,0.9318459282689986
global,277,1,6239,248832,2,175.0,40.81818181817653,33585.11021758805,0.9318459282689986
global,277,1,6240,249638,3,175.0,52.23115577889257,33735.16669346597,0.9158382754142644
global,277,1,6241,250359,4,175.0,92.8903960933385,33844.946885096215,0.9044712313060969
global,277,1,6242,251010,5,175.0,211.01942417101236,33651.96884709014,0.9246450306730575
global,277,1,6243,251816,6,175.0,93.24283753079362,33651.96884709014,0.9246450306730575
global,277,1,6244,252613,7,175.0,130.27161454680027,33903.66754460044,0.8985061447910352
global,277,1,6245,253321,8,175.0,239.95457629178418,33811.15033244413,0.9079404729417299
global,277,1,6246,254130,9,175.0,153.99034850628232,33729.82155930947,0.9163990289662688
global,277,1,6247,254858,10,175.0,245.80237445700914,33729.82155930947,0.9163990289662688
global,277,1,6248,255598,11,175.0,241.51639414441888,33722.89199059826,0.9171270272087046
global,277,1,6249,256377,12,175.0,207.98933067597682,33891.72836390408,0.8997125949636463
global,277,1,6250,257116,13,175.0,251.85684389900416,33799.91473706599,0.9090997173305911
global,277,1,6251,257792,14,175.0,317.58218700950965,33799.91473706599,0.9090997173305911
global,277,1,6252,258557,15,175.0,230.49886467322358,33714.763648788634,0.9179824401906777
global,277,1,6253,259328,16,175.0,225.844944872224,33621.65362473919,0.927896242206321
global,277,1,6254,260009,17,175.0,316.7893690117635,33491.29577079028,0.9421412486324734
global,277,1,6255,260857,18,175.0,150.45153138041496,33491.29577079028,0.9421412486324734
global,277,1,6256,261568,19,175.0,287.9155682037235,33462.357970681325,0.9453629860278651
global,277,1,6257,262324,20,175.0,243.2406507038395,33623.78779100426,0.9276666116883174
global,282,1,5682,249178,50,241.0,0.0,33735.16669346597,0.9158382754142644
global,282,1,5683,250363,52,241.0,178.63636363635305,33844.946885096215,0.9044712313060969
global,282,1,5684,251107,53,241.0,91.68248376087286,33651.96884709014,0.9246450306730575
global,282,1,5685,251802,54,241.0,33.2806430994533,33651.96884709014,0.9246450306730575
global,282,1,5686,252495,55,241.0,99.91581575982855,33903.66754460044,0.8985061447910352
global,282,1,5687,253106,56,241.0,234.4389247786312,33811.15033244413,0.9079404729417299
global,282,1,5688,253702,57,241.0,290.5466036676371,33811.15033244413,0.9079404729417299
global,282,1,5689,254367,58,241.0,252.7843284154369,33729.82155930947,0.9163990289662688
global,282,1,5690,255023,59,241.0,284.993656031671,33722.89199059826,0.9171270272087046
global,282,1,5691,255775,60,241.0,205.95121571345953,33722.89199059826,0.9171270272087046
global,282,1,5692,256409,61,241.0,336.1898062778055,33891.72836390408,0.8997125949636463
global,282,1,5693,257742,63,241.0,624.8891288206505,33799.91473706599,0.9090997173305911
global,282,1,5694,259069,65,241.0,389.49016869760817,33621.65362473919,0.927896242206321
global,282,1,5695,259684,66,241.0,173.78938489384018,33621.65362473919,0.927896242206321
global,282,1,5696,260375,67,241.0,151.1507374761568,33491.29577079028,0.9421412486324734
