method,sec,rep_lane,rep_dev,pd_true,pf_true,pd_hat,pf_hat,pd_var,pf_var,pd_ci_low,pd_ci_high,pf_ci_low,pf_ci_high
rule,118,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,119,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,120,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,121,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,122,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,123,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,124,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,125,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,126,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,127,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,128,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,129,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,130,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,131,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,132,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,133,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,134,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,135,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,136,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,137,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,138,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
