method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
rule,0.096,0.12263767773404716,0.03150000000000001,0.031859064644147984,0.20000000000000012,0.20000000000000007,0.024999999999999994,0.024999999999999994,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,406,416,280,255,0.5,11
global,0.09212317511081099,0.13824110357424643,0.026093196809393458,0.036365049172489464,0.23084563094765168,0.23175278396924445,0.05880380562209258,0.05983093954226075,0.016572567568286584,0.008320576525800295,,0.0,,0,0.000922796436280385,0.00021658971345453508,-0.9993177289184126,388,400,262,255,0.5,11
full,0.09055329131474749,0.11450590889644079,0.020878713705399798,0.027508676819913768,0.17735723936348438,0.17972374452980222,0.04084941016702465,0.042863487353223526,0.0642602936971821,0.014435049381950163,,24.0,118.0,18,0.002223995486915805,0.00024737270964176347,-0.998456108963093,386,398,255,255,0.5,11
rule,0.096,0.12263767773404716,0.03150000000000001,0.031859064644147984,0.20000000000000012,0.20000000000000007,0.024999999999999994,0.024999999999999994,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,425,437,297,262,0.5,22
global,0.09289689266491102,0.13950003742212216,0.02529484789970523,0.03515297345763484,0.23244400700479234,0.23347450780325493,0.056422640275705954,0.05759706931864775,0.017319743063381896,0.008273291886020093,,0.0,,0,0.0009190542056095819,0.00023462899718143263,-0.9992954409250755,406,418,282,262,0.5,22
full,0.0939451782951415,0.122933183511649,0.01977572462605153,0.024842724235976558,0.19564491122500208,0.19810647439388723,0.03576533990252703,0.037349236950967334,0.0549608815648888,0.014612878926514512,,0.0,70.0,0,0.0013618405416535573,0.00022782304640926737,-0.9989116985429611,387,400,272,262,0.5,22
rule,0.11280000000000001,0.15022117027902562,0.0357,0.0357127428238157,0.2480000000000002,0.24800000000000008,0.036999999999999984,0.03699999999999999,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,434,448,296,255,0.6,11
global,0.1085434644191876,0.1655503366723949,0.029761176233867787,0.04260431680853255,0.27749623251765704,0.27817167504480295,0.06973831829416129,0.0706786333873219,0.01683707830792867,0.008155654783894817,,0.0,,0,0.0009254783347348295,0.00021973184432684748,-0.9992610278743225,412,427,279,255,0.6,11
full,0.10409132671953748,0.13221095913350667,0.024358043193541967,0.03126556431677893,0.20492507620446349,0.20810751554765086,0.04568326291622441,0.04774634914402035,0.07537255801274591,0.01904561717605328,,26.0,79.0,31,0.002181706723589852,0.00027215320348362364,-0.9974802172291035,407,422,273,255,0.6,11
rule,0.11280000000000001,0.15022117027902562,0.0357,0.0357127428238157,0.2480000000000002,0.24800000000000008,0.036999999999999984,0.03699999999999999,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,396,408,281,262,0.6,22
global,0.10935308689571437,0.16710039409269245,0.029749781662654146,0.04227837474238069,0.2797925509294132,0.28058614675654864,0.06871805819747,0.06971711694407313,0.016988896941056267,0.008301849126602126,,0.0,,0,0.0009228324289964141,0.00023690842628302594,-0.9992160974193639,386,398,269,262,0.6,22
full,0.11208569659322636,0.14892333315482442,0.02258653891683403,0.028653142032990624,0.23886999883122506,0.241003422354545,0.04159515790831732,0.04358559552835122,0.06356584623890821,0.016866149259700505,,0.0,146.0,0,0.001093002353785081,0.00024625258252093966,-0.9985592373849087,380,392,262,262,0.6,22
rule,0.1296,0.17806066381994654,0.0399,0.04045491317503969,0.2960000000000001,0.29600000000000004,0.04899999999999999,0.04899999999999999,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,417,420,278,255,0.7,11
global,0.12572747876583504,0.19450392029928554,0.033602383727844055,0.04916691623958943,0.3266122878708828,0.3273920513733112,0.08123000045744692,0.08195464588067132,0.01681820680226702,0.007900375046336634,,0.0,,0,0.0009229699194624489,0.000222549737646961,-0.9993253499079632,410,415,269,255,0.7,11
full,0.12791692766226279,0.16264183845660504,0.02921667792328853,0.03752632940769407,0.25190855296934483,0.2550878724157871,0.05490479934935114,0.05730575063944531,0.09646222679850827,0.022750425273976343,,,35.0,42,0.002435324976908829,0.00030267449674009427,-0.9964676718658769,395,401,259,255,0.7,11
rule,0.1296,0.17806066381994654,0.0399,0.04045491317503969,0.2960000000000001,0.29600000000000004,0.04899999999999999,0.04899999999999999,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,397,408,301,262,0.7,22
global,0.12512501637662718,0.19350054006487172,0.033239628637028756,0.04831679796385111,0.32486013492548127,0.325495455824128,0.07967164096387712,0.08050487927556778,0.016775766091813093,0.00805153298946563,,0.0,,0,0.0009412859746078195,0.0002409445256379856,-0.9993581094520322,391,400,290,262,0.7,22
full,0.12570857260849538,0.1707654045614493,0.026203363846380695,0.03373351386664851,0.2767240359688659,0.2794936586860081,0.04763020577436405,0.05078778054507487,0.0645651820912391,0.020999086226226715,,16.0,110.0,7,0.0014257339483888516,0.00028353652794985997,-0.9975694563808641,384,395,281,262,0.7,22
rule,0.14640000000000003,0.20605242051478068,0.0441,0.045810479150517516,0.34400000000000014,0.34400000000000003,0.06099999999999999,0.061,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,423,435,276,255,0.8,11
